bacterial infections and mycoses,['c01']
mouth breathing,"['c08.618.659', 'c23.888.852.761']"
respiratory aspiration,"['c08.618.749', 'c23.888.852.770']"
respiratory insufficiency,['c08.618.846']
"acidosis, respiratory","['c08.618.846.093', 'c18.452.076.176.310']"
airway obstruction,['c08.618.846.185']
hypoventilation,"['c08.618.846.565', 'c23.888.852.638']"
infantile apparent life-threatening event,"['c08.618.846.600', 'c23.888.248.500', 'c23.888.852.700']"
"positive-pressure respiration, intrinsic",['c08.618.846.688']
respiratory paralysis,"['c08.618.846.812', 'c10.597.622.812', 'c23.888.592.636.812']"
tachypnea,"['c08.618.961', 'c23.888.852.944']"
respiratory hypersensitivity,"['c08.674', 'c20.543.480.680']"
respiratory system abnormalities,"['c08.695', 'c16.131.740']"
bronchopulmonary sequestration,"['c08.695.214', 'c16.131.740.214']"
respiratory tract fistula,"['c08.702', 'c23.300.575.687']"
bovine respiratory disease complex,"['c08.730.085', 'c22.196.090']"
"pneumonia, atypical interstitial, of cattle","['c08.730.085.660', 'c22.196.090.660']"
epiglottitis,['c08.730.798.200']
tracheitis,"['c08.730.848', 'c08.907.763']"
thoracic diseases,['c08.846']
mediastinal diseases,['c08.846.187']
mediastinal emphysema,"['c08.846.187.290', 'c23.550.325.250']"
mediastinitis,['c08.846.187.790']
tracheal diseases,['c08.907']
tracheal stenosis,['c08.907.663']
otorhinolaryngologic diseases,['c09']
ear diseases,['c09.218']
"cholesteatoma, middle ear","['c09.218.200', 'c17.800.428.260.300']"
"ear deformities, acquired",['c09.218.271']
earache,"['c09.218.350', 'c23.888.646.386']"
hearing disorders,"['c09.218.458', 'c10.597.751.418', 'c23.888.592.763.393']"
hearing loss,"['c09.218.458.341', 'c10.597.751.418.341', 'c23.888.592.763.393.341']"
deafness,"['c09.218.458.341.186', 'c10.597.751.418.341.186', 'c23.888.592.763.393.341.186']"
deaf-blind disorders,"['c09.218.458.341.186.500', 'c10.597.751.418.341.186.500', 'c10.597.751.941.162.625', 'c11.966.075.375', 'c16.131.077.299', 'c23.888.592.763.393.341.186.500', 'c23.888.592.763.941.162.625']"
usher syndromes,"['c09.218.458.341.186.500.500', 'c09.218.458.341.887.886', 'c10.597.751.418.341.186.500.500', 'c10.597.751.418.341.887.886', 'c10.597.751.941.162.625.500', 'c11.768.585.658.500.813', 'c11.966.075.375.500', 'c16.131.077.299.500', 'c16.320.290.684.500', 'c23.888.592.763.393.341.887.886']"
wolfram syndrome,"['c09.218.458.341.186.500.750', 'c10.292.700.225.500.980', 'c10.574.500.662.980', 'c10.597.751.418.341.186.500.750', 'c10.597.751.941.162.625.750', 'c11.270.564.980', 'c11.640.451.451.980', 'c11.966.075.375.750', 'c12.777.419.135.875', 'c13.351.968.419.135.875', 'c16.131.077.299.750', 'c16.131.077.951', 'c16.320.290.564.980', 'c16.320.400.630.980', 'c18.452.394.750.124.960', 'c19.246.267.960', 'c19.700.159.875']"
"hearing loss, bilateral","['c09.218.458.341.374', 'c10.597.751.418.341.374', 'c23.888.592.763.393.341.374']"
"hearing loss, conductive","['c09.218.458.341.562', 'c10.597.751.418.341.562', 'c23.888.592.763.393.341.562']"
"hearing loss, functional","['c09.218.458.341.750', 'c10.597.751.418.341.750', 'c23.888.592.763.393.341.750']"
"hearing loss, high-frequency","['c09.218.458.341.812', 'c10.597.751.418.341.812', 'c23.888.592.763.393.341.812']"
"hearing loss, mixed conductive-sensorineural","['c09.218.458.341.849', 'c10.597.751.418.341.849', 'c23.888.592.763.393.341.849']"
"hearing loss, sensorineural","['c09.218.458.341.887', 'c10.597.751.418.341.887', 'c23.888.592.763.393.341.887']"
"hearing loss, central","['c09.218.458.341.887.432', 'c09.218.807.186.432', 'c10.228.140.068.432', 'c10.597.751.418.341.887.432', 'c23.888.592.763.393.341.887.432']"
"hearing loss, noise-induced","['c09.218.458.341.887.460', 'c10.597.751.418.341.887.460', 'c23.888.592.763.393.341.887.460']"
presbycusis,"['c09.218.458.341.887.772', 'c10.597.751.418.341.887.772', 'c23.888.592.763.393.341.887.772']"
"hearing loss, sudden","['c09.218.458.341.900', 'c10.597.751.418.341.900', 'c23.888.592.763.393.341.900']"
"hearing loss, unilateral","['c09.218.458.341.950', 'c10.597.751.418.341.950', 'c23.888.592.763.393.341.950']"
hyperacusis,"['c09.218.458.505', 'c10.597.751.418.505', 'c23.888.592.763.393.505']"
tinnitus,"['c09.218.458.670', 'c10.597.751.418.670', 'c23.888.592.763.393.670']"
labyrinth diseases,['c09.218.568']
cochlear diseases,['c09.218.568.120']
endolymphatic hydrops,['c09.218.568.217']
meniere disease,['c09.218.568.217.500']
labyrinthitis,"['c09.218.568.558', 'c09.218.705.371']"
vestibular diseases,['c09.218.568.900']
vertigo,"['c09.218.568.900.883', 'c10.597.951', 'c23.888.592.958']"
otitis,['c09.218.705']
otitis externa,['c09.218.705.496']
otitis media,['c09.218.705.663']
otitis media with effusion,['c09.218.705.663.683']
otosclerosis,['c09.218.768']
retrocochlear diseases,['c09.218.807']
"auditory diseases, central","['c09.218.807.186', 'c10.228.140.068']"
auditory perceptual disorders,"['c09.218.807.186.094', 'c10.228.140.068.094', 'c10.597.606.762.200', 'c23.888.592.604.764.200']"
vestibulocochlear nerve diseases,"['c09.218.807.800', 'c10.292.910']"
vestibular neuronitis,"['c09.218.807.800.837', 'c10.292.910.850']"
vestibulocochlear nerve injuries,"['c09.218.807.800.918', 'c10.292.262.968', 'c10.292.910.925', 'c10.900.300.218.943', 'c26.260.237.956', 'c26.915.300.400.956']"
susac syndrome,"['c09.218.855', 'c10.228.140.300.787', 'c10.597.825', 'c11.768.400.500', 'c11.966.858', 'c14.907.137.780.500', 'c23.888.307.750', 'c23.888.592.848']"
tympanic membrane perforation,"['c09.218.903', 'c26.930']"
nervous system diseases,['c10']
autoimmune diseases of the nervous system,"['c10.114', 'c20.111.258']"
"demyelinating autoimmune diseases, cns","['c10.114.375', 'c10.228.140.695.562', 'c10.228.518.562', 'c10.314.350', 'c20.111.258.250']"
diffuse cerebral sclerosis of schilder,"['c10.114.375.112', 'c10.228.140.400', 'c10.228.140.695.562.112', 'c10.228.518.562.112', 'c10.314.350.112', 'c20.111.258.250.175']"
"encephalomyelitis, acute disseminated","['c10.114.375.225', 'c10.228.140.695.562.225', 'c10.228.518.562.225', 'c10.314.350.225', 'c20.111.258.250.350']"
"leukoencephalitis, acute hemorrhagic","['c10.114.375.362', 'c10.114.562', 'c10.228.140.695.562.375', 'c10.228.228.245.670', 'c10.228.440.650', 'c10.228.518.562.375', 'c10.314.350.375', 'c20.111.258.250.425', 'c20.111.258.450']"
multiple sclerosis,"['c10.114.375.500', 'c10.314.350.500', 'c20.111.258.250.500']"
"multiple sclerosis, chronic progressive","['c10.114.375.500.200', 'c10.314.350.500.200', 'c20.111.258.250.500.200']"
"multiple sclerosis, relapsing-remitting","['c10.114.375.500.600', 'c10.314.350.500.600', 'c20.111.258.250.500.600']"
neuromyelitis optica,"['c10.114.375.500.650', 'c10.114.375.600.500', 'c10.114.375.650', 'c10.292.700.550.500', 'c10.314.350.500.650', 'c10.314.350.600.500', 'c10.314.350.650', 'c11.640.576.695', 'c20.111.258.250.500.650', 'c20.111.258.250.550.500', 'c20.111.258.250.600']"
myasthenia gravis,"['c10.114.656', 'c10.668.758.725', 'c20.111.258.500']"
"myasthenia gravis, autoimmune, experimental","['c10.114.656.300', 'c10.114.703.350', 'c10.668.758.725.300', 'c20.111.258.500.300', 'c20.111.258.625.350']"
"myasthenia gravis, neonatal","['c10.114.656.650', 'c10.668.758.725.650', 'c20.111.258.500.650']"
"nervous system autoimmune disease, experimental","['c10.114.703', 'c20.111.258.625']"
"encephalomyelitis, autoimmune, experimental","['c10.114.703.300', 'c10.228.140.695.562.250', 'c10.228.518.562.250', 'c10.314.350.250', 'c20.111.258.625.300']"
"neuritis, autoimmune, experimental","['c10.114.703.700', 'c10.668.829.650.500', 'c20.111.258.625.700']"
polyradiculoneuropathy,"['c10.114.750', 'c10.314.750', 'c10.668.829.800.750', 'c20.111.258.750']"
guillain-barre syndrome,"['c10.114.750.100', 'c10.314.750.450', 'c10.668.829.350', 'c10.668.829.800.750.300', 'c20.111.258.750.400']"
miller fisher syndrome,"['c10.114.750.100.500', 'c10.228.140.252.500', 'c10.292.562.350', 'c10.314.750.450.500', 'c10.668.829.350.500', 'c10.668.829.800.750.300.500', 'c11.590.312', 'c20.111.258.750.400.500']"
hereditary sensory and autonomic neuropathies,"['c10.114.750.137', 'c10.314.750.600', 'c10.500.310', 'c10.574.500.496', 'c10.668.829.800.625', 'c10.668.829.800.750.450', 'c16.131.666.310', 'c16.320.400.415', 'c20.111.258.750.600']"
"dysautonomia, familial","['c10.114.750.137.250', 'c10.177.575.300', 'c10.314.750.600.250', 'c10.500.310.309', 'c10.574.500.496.250', 'c10.668.829.800.625.200', 'c10.668.829.800.750.450.250', 'c16.131.666.310.309', 'c16.320.400.415.309', 'c20.111.258.750.600.250']"
"polyradiculoneuropathy, chronic inflammatory demyelinating","['c10.114.750.175', 'c10.314.750.700', 'c10.668.829.800.750.600', 'c20.111.258.750.800']"
stiff-person syndrome,"['c10.114.812', 'c10.228.854.790', 'c10.668.900', 'c20.111.258.850']"
uveomeningoencephalitic syndrome,"['c10.114.843', 'c10.228.228.553.900', 'c11.941.879.980', 'c20.111.258.925']"
"vasculitis, central nervous system","['c10.114.875', 'c10.228.140.300.850', 'c14.907.253.946', 'c14.907.940.907', 'c20.111.258.962']"
giant cell arteritis,"['c10.114.875.700', 'c10.228.140.300.850.500', 'c14.907.184.438', 'c14.907.253.946.700', 'c14.907.940.090.530', 'c14.907.940.907.700', 'c17.800.862.252', 'c20.111.258.962.800']"
"lupus vasculitis, central nervous system","['c10.114.875.850', 'c10.228.140.300.850.750', 'c10.228.140.430.550.500', 'c10.228.228.245.550.500', 'c10.228.228.507.850.500', 'c10.228.228.553.450', 'c10.228.566.500.500', 'c14.907.253.946.850', 'c14.907.940.907.850', 'c17.300.480.750', 'c20.111.258.962.900', 'c20.111.590.750']"
autonomic nervous system diseases,['c10.177']
adie syndrome,"['c10.177.045', 'c10.292.600.200', 'c11.590.436.200', 'c11.710.800.180']"
autonomic dysreflexia,"['c10.177.090', 'c10.900.850.250']"
complex regional pain syndromes,"['c10.177.195', 'c10.668.829.250']"
causalgia,"['c10.177.195.200', 'c10.668.829.250.200', 'c10.668.829.600.200']"
reflex sympathetic dystrophy,"['c10.177.195.800', 'c10.668.829.250.800']"
horner syndrome,"['c10.177.350', 'c10.597.690.362.500', 'c11.710.528.500', 'c23.888.592.708.362.500']"
primary dysautonomias,['c10.177.575']
multiple system atrophy,"['c10.177.575.550', 'c10.228.140.079.612', 'c10.228.662.550', 'c10.574.625']"
shy-drager syndrome,"['c10.177.575.550.750', 'c10.228.140.079.612.700', 'c10.228.662.550.700', 'c10.574.625.700', 'c10.574.875', 'c14.907.514.741']"
orthostatic intolerance,"['c10.177.575.600', 'c23.888.592.610']"
"hypotension, orthostatic","['c10.177.575.600.450', 'c14.907.514.482']"
post-exercise hypotension,"['c10.177.575.600.537', 'c14.907.514.611']"
postural orthostatic tachycardia syndrome,['c10.177.575.600.625']
"syncope, vasovagal","['c10.177.575.600.800', 'c10.597.606.358.800.600.500', 'c23.888.592.604.359.800.600.500']"
pure autonomic failure,['c10.177.575.650']
"sweating, gustatory","['c10.177.825', 'c17.800.946.350.843']"
central nervous system diseases,['c10.228']
brain diseases,['c10.228.140']
akinetic mutism,['c10.228.140.042']
amblyopia,"['c10.228.140.055', 'c10.597.751.941.073', 'c11.966.073', 'c23.888.592.763.941.073']"
"amnesia, transient global","['c10.228.140.060', 'c10.597.606.525.100.800', 'c23.888.592.604.529.100.800']"
basal ganglia diseases,['c10.228.140.079']
basal ganglia cerebrovascular disease,"['c10.228.140.079.127', 'c10.228.140.300.100', 'c14.907.253.061']"
basal ganglia hemorrhage,"['c10.228.140.079.127.500', 'c10.228.140.300.100.200', 'c10.228.140.300.535.200.150', 'c14.907.253.061.200', 'c14.907.253.573.200.150', 'c23.550.414.913.100.200']"
putaminal hemorrhage,"['c10.228.140.079.127.500.500', 'c10.228.140.300.100.200.500', 'c10.228.140.300.535.200.150.500', 'c14.907.253.061.200.500', 'c14.907.253.573.200.150.500', 'c23.550.414.913.100.200.500']"
chorea gravidarum,"['c10.228.140.079.294', 'c10.228.662.262.249.500', 'c13.703.141']"
dystonia musculorum deformans,"['c10.228.140.079.357', 'c10.228.662.300.200', 'c10.574.500.393', 'c16.320.400.330']"
huntington disease,"['c10.228.140.079.545', 'c10.228.140.380.278', 'c10.228.662.262.249.750', 'c10.574.500.497', 'c16.320.400.430']"
meige syndrome,"['c10.228.140.079.590', 'c10.228.662.300.500']"
olivopontocerebellar atrophies,"['c10.228.140.079.612.600', 'c10.228.140.252.700.650', 'c10.228.662.550.600', 'c10.228.854.787.750', 'c10.574.500.825.650', 'c10.574.625.600', 'c10.574.750', 'c16.320.400.780.750']"
striatonigral degeneration,"['c10.228.140.079.612.800', 'c10.228.662.550.800', 'c10.574.625.800']"
neuroleptic malignant syndrome,"['c10.228.140.079.737', 'c10.720.737', 'c25.723.705.600']"
pantothenate kinase-associated neurodegeneration,"['c10.228.140.079.800', 'c10.228.140.744.320', 'c10.228.662.575', 'c10.574.500.700', 'c16.320.400.650']"
parkinsonian disorders,"['c10.228.140.079.862', 'c10.228.662.600']"
lewy body disease,"['c10.228.140.079.862.400', 'c10.228.140.380.422', 'c10.228.662.600.200', 'c10.574.531']"
parkinson disease,"['c10.228.140.079.862.500', 'c10.228.662.600.400', 'c10.574.812']"
"parkinson disease, secondary","['c10.228.140.079.862.800', 'c10.228.662.600.700']"
mptp poisoning,"['c10.228.140.079.862.800.300', 'c10.228.662.600.700.250', 'c10.720.606', 'c25.723.705.400']"
"parkinson disease, postencephalitic","['c10.228.140.079.862.800.600', 'c10.228.662.600.700.500']"
"supranuclear palsy, progressive","['c10.228.140.079.882', 'c10.228.662.700', 'c10.292.562.750.500', 'c10.574.945.500', 'c10.597.622.447.690', 'c11.590.472.500', 'c23.888.592.636.447.690']"
tourette syndrome,"['c10.228.140.079.898', 'c10.228.662.825.800', 'c10.574.500.850', 'c16.320.400.820']"
"brain damage, chronic",['c10.228.140.140']
"brain injury, chronic","['c10.228.140.140.127', 'c10.228.140.199.500', 'c10.900.300.087.250', 'c26.260.118.200', 'c26.915.300.200.200']"
cerebral palsy,['c10.228.140.140.254']
persistent vegetative state,"['c10.228.140.140.627', 'c10.597.606.358.800.400', 'c23.888.592.604.359.800.400']"
brain death,"['c10.228.140.151', 'c10.597.606.358.800.200.100', 'c23.550.260.159']"
"brain diseases, metabolic","['c10.228.140.163', 'c18.452.132']"
"brain diseases, metabolic, inborn","['c10.228.140.163.100', 'c16.320.565.189', 'c18.452.132.100', 'c18.452.648.189']"
"cerebral amyloid angiopathy, familial","['c10.228.140.163.100.168', 'c10.228.140.300.275.311', 'c10.228.140.300.510.200.200.160', 'c14.907.253.329.311', 'c14.907.253.560.200.200.160', 'c16.320.565.176.160', 'c16.320.565.189.168', 'c18.452.132.100.168', 'c18.452.648.176.160', 'c18.452.648.189.168', 'c18.452.845.500.075.160', 'c18.452.845.500.100.160']"
galactosemias,"['c10.228.140.163.100.320', 'c16.320.565.189.320', 'c16.320.565.202.355', 'c18.452.132.100.320', 'c18.452.648.189.320', 'c18.452.648.202.355']"
hartnup disease,"['c10.228.140.163.100.355', 'c12.777.419.815.885.457', 'c13.351.968.419.815.885.625', 'c16.320.565.151.355', 'c16.320.565.189.355', 'c16.320.565.861.885.457', 'c18.452.132.100.355', 'c18.452.648.151.355', 'c18.452.648.189.355']"
hereditary central nervous system demyelinating diseases,"['c10.228.140.163.100.362', 'c10.228.140.695.625', 'c10.228.518.625', 'c10.314.400', 'c10.574.500.494', 'c16.320.400.367', 'c16.320.565.189.362', 'c18.452.132.100.362', 'c18.452.648.189.362']"
adrenoleukodystrophy,"['c10.228.140.163.100.362.250', 'c10.228.140.163.100.680.100', 'c10.228.140.695.625.250', 'c10.228.518.625.250', 'c10.314.400.250', 'c10.597.606.643.455.124', 'c16.320.322.500.124', 'c16.320.400.525.124', 'c16.320.565.189.362.250', 'c16.320.565.189.680.100', 'c16.320.565.663.112', 'c18.452.132.100.362.250', 'c18.452.132.100.680.100', 'c18.452.648.189.362.250', 'c18.452.648.189.680.100', 'c18.452.648.663.112', 'c19.053.500.270']"
alexander disease,"['c10.228.140.163.100.362.312', 'c10.228.140.695.625.312', 'c10.228.518.625.312', 'c10.314.400.312', 'c10.574.500.024', 'c16.320.400.024', 'c16.320.565.189.362.312', 'c18.452.132.100.362.312', 'c18.452.648.189.362.312']"
canavan disease,"['c10.228.140.163.100.362.375', 'c10.228.140.695.625.375', 'c10.228.518.625.375', 'c10.314.400.375', 'c10.574.500.300', 'c16.320.400.150', 'c16.320.565.189.362.375', 'c18.452.132.100.362.375', 'c18.452.648.189.362.375']"
"leukodystrophy, globoid cell","['c10.228.140.163.100.362.500', 'c10.228.140.163.100.435.825.590', 'c10.228.140.695.625.500', 'c10.228.518.625.500', 'c10.314.400.500', 'c16.320.565.189.362.500', 'c16.320.565.189.435.825.590', 'c16.320.565.398.641.803.585', 'c16.320.565.595.554.825.590', 'c18.452.132.100.362.500', 'c18.452.132.100.435.825.590', 'c18.452.584.687.803.585', 'c18.452.648.189.362.500', 'c18.452.648.189.435.825.590', 'c18.452.648.398.641.803.585', 'c18.452.648.595.554.825.590']"
"leukodystrophy, metachromatic","['c10.228.140.163.100.362.550', 'c10.228.140.163.100.435.825.850.500', 'c10.228.140.695.625.550', 'c10.228.518.625.550', 'c10.314.400.550', 'c16.320.565.189.362.550', 'c16.320.565.189.435.825.850.500', 'c16.320.565.398.641.803.925.500', 'c16.320.565.595.554.825.850.500', 'c18.452.132.100.362.550', 'c18.452.132.100.435.825.850.500', 'c18.452.584.687.803.925.500', 'c18.452.648.189.362.550', 'c18.452.648.189.435.825.850.500', 'c18.452.648.398.641.803.925.500', 'c18.452.648.595.554.825.850.500']"
pelizaeus-merzbacher disease,"['c10.228.140.163.100.362.775', 'c10.228.140.695.625.775', 'c10.228.518.625.775', 'c10.314.400.775', 'c16.320.322.906', 'c16.320.565.189.362.775', 'c18.452.132.100.362.775', 'c18.452.648.189.362.775']"
homocystinuria,"['c10.228.140.163.100.365', 'c16.320.565.100.480.500', 'c16.320.565.189.365', 'c17.300.428', 'c18.452.132.100.365', 'c18.452.648.100.480.500', 'c18.452.648.189.365']"
"hyperglycinemia, nonketotic","['c10.228.140.163.100.375', 'c16.320.565.100.477', 'c16.320.565.189.375', 'c18.452.132.100.375', 'c18.452.648.100.477', 'c18.452.648.189.375']"
hyperlysinemias,"['c10.228.140.163.100.380', 'c16.320.565.100.544', 'c16.320.565.189.380', 'c18.452.132.100.380', 'c18.452.648.100.544', 'c18.452.648.189.380']"
leigh disease,"['c10.228.140.163.100.412', 'c16.320.565.189.412', 'c16.320.565.202.810.444', 'c18.452.132.100.412', 'c18.452.648.189.412', 'c18.452.648.202.810.444', 'c18.452.660.520']"
lesch-nyhan syndrome,"['c10.228.140.163.100.425', 'c10.574.500.536', 'c10.597.606.643.455.625', 'c16.320.322.500.625', 'c16.320.400.500', 'c16.320.400.525.625', 'c16.320.565.189.425', 'c16.320.565.798.594', 'c18.452.132.100.425', 'c18.452.648.189.425', 'c18.452.648.798.594']"
"lysosomal storage diseases, nervous system","['c10.228.140.163.100.435', 'c16.320.565.189.435', 'c16.320.565.595.554', 'c18.452.132.100.435', 'c18.452.648.189.435', 'c18.452.648.595.554']"
fucosidosis,"['c10.228.140.163.100.435.295', 'c16.320.565.189.435.295', 'c16.320.565.202.303', 'c16.320.565.595.554.295', 'c18.452.132.100.435.295', 'c18.452.648.189.435.295', 'c18.452.648.202.303', 'c18.452.648.595.554.295']"
glycogen storage disease type ii,"['c10.228.140.163.100.435.340', 'c16.320.565.189.435.340', 'c16.320.565.202.449.500', 'c16.320.565.595.554.340', 'c18.452.132.100.435.340', 'c18.452.648.189.435.340', 'c18.452.648.202.449.500', 'c18.452.648.595.554.340']"
sialic acid storage disease,"['c10.228.140.163.100.435.810', 'c16.320.565.189.435.810', 'c16.320.565.595.554.810', 'c18.452.132.100.435.810', 'c18.452.648.189.435.810', 'c18.452.648.595.554.810']"
sphingolipidoses,"['c10.228.140.163.100.435.825', 'c16.320.565.189.435.825', 'c16.320.565.398.641.803', 'c16.320.565.595.554.825', 'c18.452.132.100.435.825', 'c18.452.584.687.803', 'c18.452.648.189.435.825', 'c18.452.648.398.641.803', 'c18.452.648.595.554.825']"
fabry disease,"['c10.228.140.163.100.435.825.200', 'c10.228.140.300.275.374', 'c14.907.253.329.374', 'c16.320.322.124', 'c16.320.565.189.435.825.200', 'c16.320.565.398.641.803.300', 'c16.320.565.595.554.825.200', 'c18.452.132.100.435.825.200', 'c18.452.584.687.803.300', 'c18.452.648.189.435.825.200', 'c18.452.648.398.641.803.300', 'c18.452.648.595.554.825.200']"
farber lipogranulomatosis,"['c10.228.140.163.100.435.825.250', 'c16.320.565.189.435.825.250', 'c16.320.565.398.641.803.325', 'c16.320.565.595.554.825.250', 'c18.452.132.100.435.825.250', 'c18.452.584.687.803.325', 'c18.452.648.189.435.825.250', 'c18.452.648.398.641.803.325', 'c18.452.648.595.554.825.250']"
gangliosidoses,"['c10.228.140.163.100.435.825.300', 'c16.320.565.189.435.825.300', 'c16.320.565.398.641.803.350', 'c16.320.565.595.554.825.300', 'c18.452.132.100.435.825.300', 'c18.452.584.687.803.350', 'c18.452.648.189.435.825.300', 'c18.452.648.398.641.803.350', 'c18.452.648.595.554.825.300']"
"gangliosidoses, gm2","['c10.228.140.163.100.435.825.300.300', 'c16.320.565.189.435.825.300.300', 'c16.320.565.398.641.803.350.300', 'c16.320.565.595.554.825.300.300', 'c18.452.132.100.435.825.300.300', 'c18.452.584.687.803.350.300', 'c18.452.648.189.435.825.300.300', 'c18.452.648.398.641.803.350.300', 'c18.452.648.595.554.825.300.300']"
sandhoff disease,"['c10.228.140.163.100.435.825.300.300.249', 'c10.228.140.163.100.435.825.300.700', 'c16.320.565.189.435.825.300.300.249', 'c16.320.565.189.435.825.300.700', 'c16.320.565.398.641.803.350.300.700', 'c16.320.565.595.554.825.300.300.800', 'c18.452.132.100.435.825.300.300.249', 'c18.452.132.100.435.825.300.700', 'c18.452.584.687.803.350.300.700', 'c18.452.648.189.435.825.300.300.249', 'c18.452.648.189.435.825.300.700', 'c18.452.648.398.641.803.350.300.700', 'c18.452.648.595.554.825.300.300.800']"
tay-sachs disease,"['c10.228.140.163.100.435.825.300.300.500', 'c16.320.565.189.435.825.300.300.500', 'c16.320.565.398.641.803.350.300.850', 'c16.320.565.595.554.825.300.300.840', 'c18.452.132.100.435.825.300.300.500', 'c18.452.584.687.803.350.300.850', 'c18.452.648.189.435.825.300.300.500', 'c18.452.648.398.641.803.350.300.850', 'c18.452.648.595.554.825.300.300.840']"
"tay-sachs disease, ab variant","['c10.228.140.163.100.435.825.300.300.750', 'c16.320.565.189.435.825.300.300.750', 'c16.320.565.398.641.803.350.300.925', 'c16.320.565.595.554.825.300.300.920', 'c18.452.132.100.435.825.300.300.750', 'c18.452.584.687.803.350.300.925', 'c18.452.648.189.435.825.300.300.750', 'c18.452.648.398.641.803.350.300.925', 'c18.452.648.595.554.825.300.300.920']"
"gangliosidosis, gm1","['c10.228.140.163.100.435.825.300.400', 'c16.320.565.189.435.825.300.400', 'c16.320.565.398.641.803.350.360', 'c16.320.565.595.554.825.300.400', 'c18.452.132.100.435.825.300.400', 'c18.452.584.687.803.350.360', 'c18.452.648.189.435.825.300.400', 'c18.452.648.398.641.803.350.360', 'c18.452.648.595.554.825.300.400']"
gaucher disease,"['c10.228.140.163.100.435.825.400', 'c16.320.565.189.435.825.400', 'c16.320.565.398.641.803.441', 'c16.320.565.595.554.825.400', 'c18.452.132.100.435.825.400', 'c18.452.584.687.803.441', 'c18.452.648.189.435.825.400', 'c18.452.648.398.641.803.441', 'c18.452.648.595.554.825.400']"
niemann-pick diseases,"['c10.228.140.163.100.435.825.700', 'c15.604.250.410.625', 'c16.320.565.189.435.825.700', 'c16.320.565.398.641.803.730', 'c16.320.565.595.554.825.700', 'c18.452.132.100.435.825.700', 'c18.452.584.687.803.730', 'c18.452.648.189.435.825.700', 'c18.452.648.398.641.803.730', 'c18.452.648.595.554.825.700']"
"niemann-pick disease, type a","['c10.228.140.163.100.435.825.700.500', 'c15.604.250.410.625.500', 'c16.320.565.189.435.825.700.500', 'c16.320.565.398.641.803.730.500', 'c16.320.565.595.554.825.700.500', 'c18.452.132.100.435.825.700.500', 'c18.452.584.687.803.730.500', 'c18.452.648.189.435.825.700.500', 'c18.452.648.398.641.803.730.500', 'c18.452.648.595.554.825.700.500']"
"niemann-pick disease, type b","['c10.228.140.163.100.435.825.700.750', 'c15.604.250.410.625.750', 'c16.320.565.189.435.825.700.750', 'c16.320.565.398.641.803.730.750', 'c16.320.565.595.554.825.700.750', 'c18.452.132.100.435.825.700.750', 'c18.452.584.687.803.730.750', 'c18.452.648.189.435.825.700.750', 'c18.452.648.398.641.803.730.750', 'c18.452.648.595.554.825.700.750']"
"niemann-pick disease, type c","['c10.228.140.163.100.435.825.700.875', 'c15.604.250.410.625.875', 'c16.320.565.189.435.825.700.875', 'c16.320.565.398.641.803.730.875', 'c16.320.565.595.554.825.700.875', 'c18.452.132.100.435.825.700.875', 'c18.452.584.687.803.730.875', 'c18.452.648.189.435.825.700.875', 'c18.452.648.398.641.803.730.875', 'c18.452.648.595.554.825.700.875']"
sea-blue histiocyte syndrome,"['c10.228.140.163.100.435.825.775', 'c15.604.250.410.800', 'c16.320.565.189.435.825.775', 'c16.320.565.398.641.803.850', 'c16.320.565.595.554.825.775', 'c18.452.132.100.435.825.775', 'c18.452.584.687.803.850', 'c18.452.648.189.435.825.775', 'c18.452.648.398.641.803.850', 'c18.452.648.595.554.825.775']"
sulfatidosis,"['c10.228.140.163.100.435.825.850', 'c16.320.565.189.435.825.850', 'c16.320.565.398.641.803.925', 'c16.320.565.595.554.825.850', 'c18.452.132.100.435.825.850', 'c18.452.584.687.803.925', 'c18.452.648.189.435.825.850', 'c18.452.648.398.641.803.925', 'c18.452.648.595.554.825.850']"
multiple sulfatase deficiency disease,"['c10.228.140.163.100.435.825.850.750', 'c16.320.565.189.435.825.850.750', 'c16.320.565.398.641.803.925.750', 'c16.320.565.595.554.825.850.750', 'c18.452.132.100.435.825.850.750', 'c18.452.584.687.803.925.750', 'c18.452.648.189.435.825.850.750', 'c18.452.648.398.641.803.925.750', 'c18.452.648.595.554.825.850.750']"
maple syrup urine disease,"['c10.228.140.163.100.520', 'c16.320.565.100.608', 'c16.320.565.189.520', 'c18.452.132.100.520', 'c18.452.648.100.608', 'c18.452.648.189.520']"
menkes kinky hair syndrome,"['c10.228.140.163.100.540', 'c10.574.500.540', 'c10.597.606.643.455.687', 'c16.320.322.500.687', 'c16.320.400.520', 'c16.320.400.525.687', 'c16.320.565.189.540', 'c16.320.565.618.590', 'c17.800.329.968', 'c18.452.132.100.540', 'c18.452.648.189.540', 'c18.452.648.618.590']"
oculocerebrorenal syndrome,"['c10.228.140.163.100.640', 'c12.777.419.815.720', 'c13.351.968.419.815.720', 'c16.131.077.661', 'c16.320.322.750', 'c16.320.565.151.600', 'c16.320.565.189.640', 'c16.320.565.861.750', 'c18.452.132.100.640', 'c18.452.648.151.600', 'c18.452.648.189.640', 'c18.452.648.861.750']"
peroxisomal disorders,"['c10.228.140.163.100.680', 'c16.320.565.189.680', 'c16.320.565.663', 'c18.452.132.100.680', 'c18.452.648.189.680', 'c18.452.648.663']"
